Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch
7,456,--,0.00%,21.82,C,22.19,D,6 APR 23,286,.26,T,.28,T,7,640,29.87%,10.02%
5,316,--,0.00%,20.86,C,21.17,H,6 APR 23,287,.29,W,.31,T,44,695,29.39%,11.09%
<empty>,180,--,0.00%,20.38,C,20.73,T,6 APR 23,287.5,.31,W,.33,T,36,"4,149",29.22%,11.76%
13,289,--,0.00%,19.91,W,20.27,Z,6 APR 23,288,.33,W,.35,T,309,"1,321",29.03%,12.44%
<empty>,399,--,0.00%,18.96,W,19.30,T,6 APR 23,289,.38,T,.40,T,153,"1,204",28.74%,14.06%
43,997,--,0.00%,18.01,X,18.31,T,6 APR 23,290,.44,D,.46,T,"1,023","6,347",28.51%,15.94%
8,908,--,0.00%,17.08,C,17.43,W,6 APR 23,291,.50,T,.52,T,114,631,28.16%,17.85%
35,461,--,0.00%,16.23,N,16.41,N,6 APR 23,292,.57,T,.58,N,235,914,27.77%,19.90%
<empty>,408,--,0.00%,15.70,D,16.04,Z,6 APR 23,292.5,.61,Q,.63,T,172,414,27.69%,21.21%
53,742,0.07%,0.00%,15.32,X,15.58,Z,6 APR 23,293,.66,Q,.68,T,252,"1,460",27.63%,22.62%
33,480,0.07%,0.00%,14.36,W,14.67,W,6 APR 23,294,.75,T,.77,T,752,"1,040",27.31%,25.27%
63,918,0.07%,0.00%,13.48,N,13.71,N,6 APR 23,295,.86,T,.88,T,"4,044","4,123",27.06%,28.35%
12,"1,077",12.46%,2.90%,12.59,N,12.90,Z,6 APR 23,296,.98,T,1.01,B,161,737,26.83%,31.74%
9,648,15.70%,11.22%,11.73,W,12.04,Z,6 APR 23,297,1.12,D,1.15,B,254,694,26.59%,35.42%
4,781,16.37%,14.57%,11.30,E,11.61,W,6 APR 23,297.5,1.20,T,1.22,T,39,632,26.46%,37.36%
32,"1,617",16.94%,18.03%,10.88,D,11.19,W,6 APR 23,298,1.28,T,1.30,T,188,"1,002",26.34%,39.39%
13,450,17.81%,25.02%,10.06,D,10.37,W,6 APR 23,299,1.46,T,1.48,T,203,"1,235",26.13%,43.77%
327,952,18.43%,32.11%,9.30,N,9.54,I,6 APR 23,300,1.64,C,1.68,C,"5,622","14,713",25.84%,48.36%
92,720,18.83%,39.27%,8.52,I,8.77,I,6 APR 23,301,1.88,T,1.91,B,"1,144",548,25.72%,53.55%
203,"5,204",19.10%,46.65%,7.78,I,8.01,I,6 APR 23,302,2.11,B,2.16,B,"2,087","2,557",25.46%,58.84%
337,805,19.24%,50.51%,7.42,C,7.65,X,6 APR 23,302.5,2.26,D,2.29,Z,393,"4,222",25.40%,61.71%
442,999,19.24%,54.18%,7.03,W,7.30,X,6 APR 23,303,2.40,T,2.43,T,960,"1,090",25.29%,64.59%
863,"1,364",19.37%,62.15%,6.37,I,6.58,I,6 APR 23,304,2.71,D,2.74,Q,"2,724","1,769",25.14%,70.64%
939,"1,261",19.45%,70.35%,5.72,I,5.91,I,6 APR 23,305,3.04,X,3.08,B,"3,189","11,466",24.95%,76.91%
"2,171","1,147",19.48%,78.79%,5.12,I,5.26,I,6 APR 23,306,3.41,T,3.45,Q,"2,092","1,657",24.79%,83.43%
"1,070","1,505",19.40%,87.36%,4.56,Q,4.61,B,6 APR 23,307,3.82,X,3.86,Q,"2,318",967,24.67%,90.17%
246,605,19.36%,91.75%,4.27,Q,4.33,B,6 APR 23,307.5,4.01,C,4.08,T,286,453,24.54%,93.56%
"1,537",932,19.35%,96.18%,4.01,T,4.05,B,6 APR 23,308,4.23,X,4.31,Q,"1,372","2,278",24.48%,97.01%
"1,203","2,610",19.27%,95.13%,3.49,Q,3.53,B,6 APR 23,309,4.70,Q,4.80,Q,352,"1,603",24.37%,96.10%
"1,722","2,157",19.16%,86.58%,3.01,Z,3.05,T,6 APR 23,310,5.21,I,5.43,I,"1,053","1,913",24.56%,89.38%
743,"1,350",19.06%,78.10%,2.58,T,2.61,T,6 APR 23,311,5.78,I,5.99,I,237,"2,922",24.54%,82.71%
"1,338","1,754",18.95%,69.77%,2.18,T,2.22,B,6 APR 23,312,6.37,I,6.63,Z,129,758,24.60%,76.24%
"2,018","2,004",18.81%,61.68%,1.83,Z,1.86,T,6 APR 23,313,7.02,N,7.29,Z,168,632,24.72%,70.03%
