Stock quote and option quote for SPY on 3/28/23 22:19:09

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
395.60,P,-.89,397.60, ,397.76, ,"3,000 x 5,000","62,871,680",395.77,396.49,393.69

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,1.52%,72.72,1.506,Q,3/17/23,461.195,348.11,"856,432,000",1

28 MAR 23  (-1)  100

29 MAR 23  (0)  100 (Weeklys)

30 MAR 23  (1)  100

31 MAR 23  (2)  100 (Quarterlys)
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,230,"3,354",--,0.00%,13.09,C,13.71,Q,31 MAR 23,383,.20,I,.21,W,"1,831","8,978",27.54%,10.92%,,
,,"1,034","2,880",--,0.00%,12.16,C,12.75,Q,31 MAR 23,384,.25,Q,.26,I,"2,485","8,290",27.27%,13.24%,,
,,259,"7,881",--,0.00%,11.21,Q,11.80,Q,31 MAR 23,385,.31,P,.32,I,"20,410","56,708",26.99%,15.94%,,
,,55,"4,250",--,0.00%,10.29,Q,10.86,Q,31 MAR 23,386,.38,Q,.39,I,"4,394","11,268",26.67%,19.03%,,
,,105,"2,356",--,0.00%,9.41,Q,9.94,Q,31 MAR 23,387,.46,I,.47,N,"14,539","21,337",26.26%,22.48%,,
,,599,"2,150",--,0.00%,8.64,C,9.03,X,31 MAR 23,388,.57,I,.58,P,"14,865","7,688",26.06%,26.85%,,
,,953,"3,405",--,0.00%,7.67,X,8.14,Q,31 MAR 23,389,.71,N,.72,Z,"9,834","9,657",25.97%,32.05%,,
,,"1,442","9,886",--,0.00%,6.87,Q,7.14,T,31 MAR 23,390,.87,W,.88,P,"32,340","76,174",25.81%,37.75%,,
,,"2,055","4,456",--,0.00%,6.10,X,6.33,P,31 MAR 23,391,1.07,Z,1.08,W,"7,293","8,828",25.75%,44.31%,,
,,"5,186","5,881",--,0.00%,5.44,C,5.55,T,31 MAR 23,392,1.30,N,1.32,X,"11,262","9,307",25.71%,51.50%,,
,,"5,994","8,027",9.52%,14.39%,4.78,N,4.80,T,31 MAR 23,393,1.58,Z,1.59,P,"15,193","13,508",25.69%,59.30%,,
,,"11,019","9,680",12.31%,37.77%,4.10,T,4.12,T,31 MAR 23,394,1.90,Z,1.91,N,"22,851","11,039",25.72%,67.64%,,
,,"35,529","11,925",13.65%,56.59%,3.47,P,3.49,N,31 MAR 23,395,2.27,Z,2.29,P,"43,414","27,398",25.84%,76.45%,,
,,"26,737","12,744",14.45%,73.88%,2.89,P,2.91,P,31 MAR 23,396,2.68,I,2.71,N,"13,322","12,535",25.91%,85.43%,,
,,"26,437","7,670",14.93%,90.37%,2.36,P,2.38,I,31 MAR 23,397,3.15,I,3.18,N,"5,780","8,513",26.06%,94.55%,,
,,"20,387","9,498",15.18%,93.85%,1.88,I,1.90,Q,31 MAR 23,398,3.68,Z,3.70,N,"7,892","10,073",26.28%,96.39%,,
,,"10,387","9,723",15.33%,78.91%,1.47,N,1.48,Q,31 MAR 23,399,4.24,B,4.30,P,"4,765","6,491",26.57%,87.58%,,
,,"41,635","42,023",15.34%,64.67%,1.11,N,1.12,T,31 MAR 23,400,4.87,B,4.95,T,"7,204","29,301",27.00%,79.22%,,
,,"19,187","9,885",15.26%,51.42%,.81,W,.82,T,31 MAR 23,401,5.57,B,5.86,Q,550,"5,726",28.41%,72.29%,,
,,"22,794","11,561",15.15%,39.51%,.57,I,.58,N,31 MAR 23,402,6.16,Q,6.66,Q,210,"4,297",28.71%,65.01%,,
,,"10,002","11,522",15.06%,29.42%,.39,I,.40,N,31 MAR 23,403,6.97,Q,7.53,Q,170,"3,871",29.95%,59.39%,,
,,"8,178","11,262",15.18%,21.74%,.27,T,.28,I,31 MAR 23,404,7.85,Q,8.43,Q,30,"4,883",31.45%,54.75%,,
,,"19,815","27,530",15.23%,15.54%,.18,W,.19,X,31 MAR 23,405,8.77,Q,9.38,Q,338,"8,770",33.23%,51.05%,,
,,"5,876","6,332",15.38%,11.05%,.12,W,.13,P,31 MAR 23,406,9.74,C,10.36,X,47,"2,940",35.27%,48.18%,,
,,"3,707","18,832",15.91%,8.46%,.09,I,.10,W,31 MAR 23,407,10.72,Q,11.35,Q,78,"2,929",37.35%,45.73%,,
,,"3,063","9,038",16.52%,6.63%,.07,P,.08,I,31 MAR 23,408,11.71,X,12.31,C,63,346,39.26%,43.44%,,
,,"2,559","9,276",16.91%,4.94%,.05,Q,.06,I,31 MAR 23,409,12.71,Q,13.36,Q,115,28,41.63%,41.91%,,
,,"4,988","60,918",17.58%,3.98%,.04,P,.05,I,31 MAR 23,410,13.71,Q,14.36,Q,162,946,43.71%,40.28%,,
,,475,"7,414",18.08%,3.10%,.03,Q,.04,X,31 MAR 23,411,14.74,C,15.27,C,<empty>,15,45.44%,38.48%,,
,,976,"10,549",18.34%,2.24%,.02,W,.03,W,31 MAR 23,412,15.74,C,16.27,C,2,305,47.44%,37.14%,,
,,565,"4,892",19.43%,2.13%,.02,I,.03,Z,31 MAR 23,413,16.71,X,17.36,Q,294,90,49.75%,36.22%,,
,,698,"4,235",19.21%,1.32%,.01,W,.02,Z,31 MAR 23,414,17.71,Q,18.36,Q,114,41,51.70%,35.07%,,
,,"1,493","20,296",20.22%,1.26%,.01,Z,.02,Z,31 MAR 23,415,18.71,X,19.36,Q,"1,519",546,53.63%,34.02%,,
,,801,"4,842",21.23%,1.20%,.01,Z,.02,Z,31 MAR 23,416,19.74,C,20.36,Q,<empty>,8,55.70%,33.18%,,
,,115,"3,283",22.23%,1.15%,.01,H,.02,Z,31 MAR 23,417,20.71,Q,21.36,Q,6,3,57.41%,32.11%,,
,,50,"2,560",20.80%,0.46%,0,J,.01,N,31 MAR 23,418,21.71,Q,22.36,Q,40,13,59.27%,31.26%,,
,,988,"5,470",21.70%,0.44%,0,J,.01,Z,31 MAR 23,419,22.71,Q,23.36,Q,<empty>,5,61.11%,30.46%,,
,,799,"43,773",22.59%,0.42%,0,A,.01,Z,31 MAR 23,420,23.71,N,24.36,N,312,121,62.93%,29.71%,,
,,95,"5,252",23.48%,0.41%,0,J,.01,Z,31 MAR 23,421,24.71,Q,25.36,Q,<empty>,20,64.74%,29.00%,,
,,127,"10,512",24.36%,0.39%,0,J,.01,Z,31 MAR 23,422,25.71,Q,26.36,Q,<empty>,1,66.52%,28.33%,,

3 APR 23  (5)  100 (Weeklys)
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,1,--,0.00%,23.01,Q,23.65,Q,3 APR 23,373,.08,I,.09,P,65,"1,005",25.11%,4.03%,,
,,3,6,--,0.00%,22.02,Q,22.66,Q,3 APR 23,374,.09,X,.10,P,448,984,24.63%,4.51%,,
,,<empty>,12,--,0.00%,21.03,Q,21.67,Q,3 APR 23,375,.11,P,.12,I,385,833,24.45%,5.36%,,
,,<empty>,1,--,0.00%,20.05,Q,20.68,Q,3 APR 23,376,.12,Q,.13,N,"2,187",405,23.85%,5.89%,,
,,<empty>,8,--,0.00%,19.07,C,19.70,Q,3 APR 23,377,.14,X,.15,N,984,786,23.51%,6.78%,,
,,3,5,--,0.00%,18.10,C,18.72,Q,3 APR 23,378,.17,P,.18,I,"5,352",603,23.32%,8.03%,,
,,<empty>,0,--,0.00%,17.13,C,17.74,Q,3 APR 23,379,.20,T,.21,I,217,860,23.02%,9.29%,,
,,29,176,--,0.00%,16.17,C,16.77,Q,3 APR 23,380,.23,I,.24,N,"5,454","18,470",22.61%,10.59%,,
,,30,15,--,0.00%,15.22,C,15.81,Q,3 APR 23,381,.27,I,.29,I,606,650,22.39%,12.39%,,
,,344,343,--,0.00%,14.28,C,14.85,Q,3 APR 23,382,.33,T,.34,W,228,"1,121",22.19%,14.51%,,
,,16,235,--,0.00%,13.35,C,13.91,Q,3 APR 23,383,.39,T,.40,I,352,820,21.93%,16.81%,,
,,9,81,--,0.00%,12.43,Q,12.97,Q,3 APR 23,384,.46,I,.47,P,721,"1,548",21.68%,19.43%,,
,,19,55,--,0.00%,11.53,Q,12.05,Q,3 APR 23,385,.55,P,.56,Z,"3,141","10,792",21.51%,22.60%,,
,,25,48,--,0.00%,10.64,X,11.15,Q,3 APR 23,386,.65,T,.66,P,745,"1,891",21.28%,26.05%,,
,,50,341,--,0.00%,9.78,X,10.26,Q,3 APR 23,387,.78,N,.79,T,928,"1,402",21.19%,30.23%,,
,,91,225,--,0.00%,8.94,X,9.39,Q,3 APR 23,388,.92,T,.94,I,"1,227","1,673",21.05%,34.73%,,
,,382,236,--,0.00%,8.14,X,8.55,X,3 APR 23,389,1.09,T,1.11,W,986,"1,800",20.93%,39.77%,,
,,128,348,--,0.00%,7.46,X,7.61,T,3 APR 23,390,1.29,N,1.31,I,"5,177","3,800",20.84%,45.34%,,
,,636,339,0.08%,0.00%,6.70,X,6.84,X,3 APR 23,391,1.52,Z,1.53,N,"1,410","1,576",20.74%,51.32%,,
,,"2,148",610,9.55%,22.13%,6.02,P,6.05,Z,3 APR 23,392,1.78,T,1.80,Z,"1,797",778,20.70%,57.86%,,
,,"1,644",650,10.91%,38.01%,5.32,N,5.35,P,3 APR 23,393,2.08,N,2.09,P,"2,338","1,519",20.64%,64.76%,,
,,"2,971",766,11.66%,52.05%,4.65,P,4.68,E,3 APR 23,394,2.40,E,2.43,P,"3,158","1,733",20.58%,72.00%,,
,,"7,723","1,981",12.17%,65.66%,4.03,P,4.05,N,3 APR 23,395,2.78,Z,2.80,Z,"5,758","2,161",20.57%,79.58%,,
,,"6,744","2,380",12.50%,78.98%,3.44,I,3.47,E,3 APR 23,396,3.19,I,3.22,N,"3,584","1,347",20.57%,87.35%,,
,,"4,078","2,063",12.70%,92.15%,2.90,I,2.93,P,3 APR 23,397,3.66,Z,3.68,N,"2,882","1,430",20.62%,95.26%,,
,,"3,839","2,193",12.86%,95.11%,2.42,N,2.44,N,3 APR 23,398,4.17,T,4.20,N,"3,723","1,169",20.73%,96.91%,,
,,"3,076","2,170",12.92%,83.06%,1.98,P,2.00,P,3 APR 23,399,4.73,N,4.76,N,"2,949",605,20.87%,89.28%,,
,,"6,627","4,151",12.90%,71.31%,1.59,P,1.60,N,3 APR 23,400,5.30,B,5.41,Z,"1,989","1,826",21.07%,81.90%,,
,,"1,115","4,900",12.86%,60.10%,1.25,T,1.26,N,3 APR 23,401,5.96,B,6.11,X,116,173,21.45%,75.03%,,
,,"1,815","6,182",12.79%,49.58%,.96,T,.97,N,3 APR 23,402,6.55,X,6.85,C,76,269,21.57%,68.24%,,
,,"1,077","2,197",12.70%,39.98%,.72,T,.73,P,3 APR 23,403,7.25,Q,7.76,Q,22,43,22.30%,62.71%,,
,,"1,009","1,968",12.63%,31.55%,.53,I,.54,N,3 APR 23,404,8.06,Q,8.61,Q,7,52,23.05%,57.76%,,
,,"9,513","4,663",12.64%,24.64%,.39,P,.40,Z,3 APR 23,405,8.92,Q,9.50,Q,40,156,23.95%,53.55%,,
,,"1,400","3,524",12.63%,18.82%,.28,Q,.29,N,3 APR 23,406,9.82,Q,10.43,Q,151,146,25.02%,50.07%,,
,,868,"1,930",12.67%,14.20%,.20,T,.21,P,3 APR 23,407,10.76,Q,11.38,Q,4,20,26.20%,47.20%,,
,,"1,164","1,266",12.70%,10.53%,.14,I,.15,P,3 APR 23,408,11.71,Q,12.36,Q,<empty>,24,27.47%,44.78%,,
,,593,"2,074",12.84%,7.91%,.10,I,.11,N,3 APR 23,409,12.71,Q,13.30,C,2,8,28.73%,42.64%,,
,,983,"2,220",13.22%,6.38%,.08,Q,.09,Z,3 APR 23,410,13.71,Q,14.30,C,3,6,30.16%,40.99%,,
,,94,854,13.48%,4.95%,.06,Q,.07,Z,3 APR 23,411,14.71,X,15.36,Q,3,1,31.78%,39.81%,,
,,123,949,13.52%,3.55%,.04,Q,.05,Z,3 APR 23,412,15.71,Q,16.36,Q,<empty>,1,33.16%,38.44%,,
,,29,"1,046",13.81%,2.78%,.03,Z,.04,Z,3 APR 23,413,16.71,Q,17.36,Q,<empty>,1,34.53%,37.18%,,
,,343,699,13.92%,2.02%,.02,I,.03,Q,3 APR 23,414,17.71,Q,18.36,Q,<empty>,0,35.87%,36.01%,,
,,230,518,14.65%,1.93%,.02,I,.03,Z,3 APR 23,415,18.71,Q,19.36,Q,1,25,37.20%,34.94%,,
,,40,350,14.42%,1.20%,.01,Z,.02,N,3 APR 23,416,19.71,Q,20.36,Q,<empty>,0,38.51%,33.93%,,
,,25,561,15.10%,1.15%,.01,Z,.02,Z,3 APR 23,417,20.71,Q,21.36,Q,3,4,39.80%,33.00%,,
,,31,195,15.78%,1.10%,.01,Z,.02,Z,3 APR 23,418,21.71,Q,22.36,Q,<empty>,0,41.08%,32.12%,,
,,1,170,16.46%,1.06%,.01,Z,.02,Z,3 APR 23,419,22.71,Q,23.36,Q,<empty>,0,42.35%,31.30%,,
,,121,785,15.36%,0.42%,0,J,.01,Q,3 APR 23,420,23.71,Q,24.36,Q,<empty>,0,43.60%,30.54%,,
,,37,46,15.97%,0.41%,0,J,.01,Q,3 APR 23,421,24.71,Q,25.36,Q,<empty>,0,44.84%,29.81%,,
,,1,35,16.57%,0.39%,0,J,.01,Z,3 APR 23,422,25.71,Q,26.36,Q,<empty>,0,46.07%,29.13%,,

4 APR 23  (6)  100
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,0,--,0.00%,23.10,Q,23.73,Q,4 APR 23,373,.13,I,.14,W,140,462,24.92%,5.69%,,
,,<empty>,10,--,0.00%,22.12,Q,22.74,Q,4 APR 23,374,.15,P,.16,I,488,109,24.62%,6.48%,,
,,2,1,--,0.00%,21.14,Q,21.76,Q,4 APR 23,375,.17,N,.18,I,895,722,24.24%,7.28%,,
,,1,0,--,0.00%,20.16,Q,20.78,Q,4 APR 23,376,.19,I,.20,N,184,238,23.81%,8.11%,,
,,4,0,--,0.00%,19.19,C,19.80,Q,4 APR 23,377,.22,I,.23,Z,359,92,23.52%,9.26%,,
,,<empty>,7,--,0.00%,18.23,C,18.83,Q,4 APR 23,378,.25,I,.27,I,152,225,23.24%,10.57%,,
,,<empty>,0,--,0.00%,17.28,C,17.87,Q,4 APR 23,379,.30,P,.31,I,363,243,23.04%,12.19%,,
,,<empty>,7,--,0.00%,16.33,Q,16.91,Q,4 APR 23,380,.34,I,.35,N,"1,736","1,021",22.66%,13.71%,,
,,<empty>,2,--,0.00%,15.40,C,15.96,Q,4 APR 23,381,.40,T,.41,N,648,358,22.47%,15.78%,,
,,10,117,--,0.00%,14.47,C,15.02,Q,4 APR 23,382,.47,Q,.48,Z,299,595,22.30%,18.14%,,
,,102,20,--,0.00%,13.57,X,14.09,Q,4 APR 23,383,.55,P,.56,Z,859,412,22.11%,20.75%,,
,,<empty>,611,--,0.00%,12.67,C,13.17,Q,4 APR 23,384,.64,Q,.65,P,411,531,21.89%,23.63%,,
,,4,140,--,0.00%,11.79,Q,12.27,Q,4 APR 23,385,.75,N,.76,T,"1,520",832,21.74%,26.97%,,
,,2,237,--,0.00%,10.91,X,11.39,Q,4 APR 23,386,.87,T,.88,N,493,484,21.54%,30.56%,,
,,49,314,--,0.00%,10.07,X,10.52,Q,4 APR 23,387,1.01,I,1.03,W,931,354,21.41%,34.66%,,
,,17,409,--,0.00%,9.26,X,9.56,X,4 APR 23,388,1.18,N,1.19,N,"1,173",463,21.27%,39.15%,,
,,105,248,0.08%,0.00%,8.47,X,8.74,X,4 APR 23,389,1.37,Z,1.38,N,758,406,21.16%,44.07%,,
,,51,779,0.07%,0.00%,7.69,X,7.96,X,4 APR 23,390,1.58,N,1.60,N,"2,396","1,263",21.05%,49.37%,,
,,305,481,9.94%,20.16%,6.95,X,7.19,X,4 APR 23,391,1.82,Q,1.84,N,"1,825",362,20.93%,55.04%,,
,,155,330,11.22%,33.75%,6.23,X,6.46,X,4 APR 23,392,2.10,N,2.11,Z,"1,730",987,20.86%,61.14%,,
,,514,440,12.33%,47.43%,5.67,B,5.75,T,4 APR 23,393,2.40,Z,2.42,N,"4,261",735,20.78%,67.55%,,
,,"2,385",784,12.79%,58.92%,5.02,P,5.08,P,4 APR 23,394,2.74,Z,2.76,N,"2,725",684,20.71%,74.26%,,
,,"2,732",915,13.04%,70.21%,4.40,I,4.43,N,4 APR 23,395,3.11,E,3.13,Z,"6,561",849,20.63%,81.19%,,
,,"3,464","1,301",13.24%,81.66%,3.82,P,3.84,N,4 APR 23,396,3.53,Z,3.55,N,"2,300",861,20.62%,88.36%,,
,,"3,798","1,081",13.38%,93.14%,3.28,P,3.30,N,4 APR 23,397,3.99,Z,4.01,N,"1,083","1,321",20.63%,95.63%,,
,,"1,334","1,362",13.45%,95.70%,2.78,P,2.80,N,4 APR 23,398,4.46,B,4.53,N,"2,292","1,191",20.63%,97.14%,,
,,870,981,13.47%,85.01%,2.33,N,2.34,N,4 APR 23,399,5.00,B,5.10,Z,488,"1,511",20.75%,90.07%,,
,,"2,697","1,340",13.47%,74.57%,1.92,N,1.94,Z,4 APR 23,400,5.59,B,5.68,N,338,"1,770",20.84%,83.14%,,
,,552,483,13.41%,64.42%,1.56,T,1.57,N,4 APR 23,401,6.11,X,6.46,T,330,"1,247",21.08%,76.57%,,
,,522,565,13.34%,54.79%,1.24,I,1.26,N,4 APR 23,402,6.92,B,7.18,X,329,"1,425",21.74%,70.83%,,
,,665,774,13.28%,45.87%,.98,Z,.99,N,4 APR 23,403,7.52,X,7.94,X,49,502,21.83%,64.78%,,
,,816,798,13.19%,37.67%,.75,I,.77,W,4 APR 23,404,8.24,Q,8.77,Q,2,"1,404",22.27%,59.58%,,
,,"2,093","1,248",13.10%,30.33%,.57,I,.58,P,4 APR 23,405,9.06,Q,9.61,Q,64,521,22.89%,55.09%,,
,,573,"1,074",13.07%,24.19%,.43,T,.44,I,4 APR 23,406,9.92,Q,10.50,Q,24,"1,159",23.67%,51.27%,,
,,481,614,13.06%,19.01%,.32,T,.33,N,4 APR 23,407,10.83,Q,11.43,Q,6,272,24.64%,48.16%,,
,,694,477,13.12%,14.91%,.24,P,.25,I,4 APR 23,408,11.76,Q,12.38,Q,9,5,25.67%,45.49%,,
,,560,431,13.22%,11.65%,.18,N,.19,I,4 APR 23,409,12.71,C,13.36,X,6,131,26.81%,43.29%,,
,,"1,082","8,780",13.24%,8.84%,.13,I,.14,N,4 APR 23,410,13.71,Q,14.36,Q,5,14,28.13%,41.64%,,
,,136,422,13.46%,7.04%,.10,P,.11,Z,4 APR 23,411,14.72,C,15.30,C,9,33,29.27%,39.87%,,
,,372,366,13.47%,5.21%,.07,Z,.08,P,4 APR 23,412,15.71,Q,16.36,Q,<empty>,0,30.72%,38.75%,,
,,102,302,13.56%,3.92%,.05,I,.06,T,4 APR 23,413,16.71,X,17.36,Q,4,0,31.98%,37.48%,,
,,20,96,13.88%,3.21%,.04,Z,.05,P,4 APR 23,414,17.71,Q,18.36,Q,<empty>,0,33.22%,36.32%,,
,,240,264,14.10%,2.52%,.03,Z,.04,P,4 APR 23,415,18.71,X,19.28,C,2,0,34.17%,34.85%,,
,,4,82,14.14%,1.84%,.02,Z,.03,T,4 APR 23,416,19.71,Q,20.36,Q,2,0,35.66%,34.22%,,
,,234,69,14.80%,1.76%,.02,Z,.03,Z,4 APR 23,417,20.71,Q,21.36,Q,<empty>,5,36.85%,33.28%,,
,,14,67,14.52%,1.10%,.01,Z,.02,N,4 APR 23,418,21.71,Q,22.36,Q,<empty>,0,38.03%,32.40%,,
,,14,36,15.14%,1.06%,.01,Z,.02,N,4 APR 23,419,22.71,Q,23.36,Q,1,0,39.20%,31.58%,,
,,59,496,15.76%,1.02%,.01,Z,.02,Z,4 APR 23,420,23.71,Q,24.36,Q,<empty>,0,40.36%,30.80%,,
,,1,38,16.37%,0.99%,.01,Z,.02,Z,4 APR 23,421,24.71,Q,25.36,Q,<empty>,0,41.51%,30.08%,,
,,23,35,16.98%,0.96%,.01,Z,.02,I,4 APR 23,422,25.71,Q,26.36,Q,<empty>,0,42.64%,29.39%,,

5 APR 23  (7)  100 (Weeklys)
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,1,--,0.00%,23.34,Q,23.96,Q,5 APR 23,373,.18,Q,.19,Q,11,"1,030",24.54%,7.15%,,
,,<empty>,0,--,0.00%,22.37,Q,22.98,Q,5 APR 23,374,.21,Q,.22,Z,40,55,24.36%,8.18%,,
,,102,1,--,0.00%,21.40,Q,22.01,Q,5 APR 23,375,.24,N,.25,I,258,"2,367",24.09%,9.23%,,
,,3,1,--,0.00%,20.44,Q,21.04,Q,5 APR 23,376,.27,T,.28,I,25,264,23.75%,10.31%,,
,,<empty>,2,--,0.00%,19.48,Q,20.07,Q,5 APR 23,377,.30,I,.31,P,23,311,23.34%,11.41%,,
,,1,0,--,0.00%,18.53,Q,19.11,X,5 APR 23,378,.35,N,.36,I,383,794,23.18%,13.04%,,
,,<empty>,0,--,0.00%,17.59,Q,18.16,Q,5 APR 23,379,.40,Q,.41,I,90,347,22.91%,14.70%,,
,,1,17,--,0.00%,16.66,Q,17.21,X,5 APR 23,380,.46,Q,.47,W,580,992,22.69%,16.62%,,
,,101,42,--,0.00%,15.74,X,16.27,X,5 APR 23,381,.53,Q,.54,W,126,594,22.49%,18.81%,,
,,<empty>,3,--,0.00%,14.83,Q,15.35,X,5 APR 23,382,.61,Q,.62,I,164,599,22.28%,21.23%,,
,,<empty>,93,--,0.00%,13.93,Q,14.43,X,5 APR 23,383,.70,E,.71,N,523,"1,142",22.07%,23.91%,,
,,6,97,--,0.00%,13.05,Q,13.53,X,5 APR 23,384,.81,T,.82,I,247,153,21.92%,27.01%,,
,,1,55,--,0.00%,12.17,X,12.64,X,5 APR 23,385,.93,W,.94,I,833,799,21.74%,30.34%,,
,,5,253,--,0.00%,11.32,X,11.77,X,5 APR 23,386,1.07,Z,1.08,I,388,350,21.59%,34.06%,,
,,2,188,0.07%,0.00%,10.49,X,10.92,X,5 APR 23,387,1.23,Z,1.24,I,324,886,21.46%,38.13%,,
,,106,101,9.85%,8.02%,9.80,X,10.09,X,5 APR 23,388,1.40,I,1.42,I,494,663,21.29%,42.47%,,
,,46,147,11.20%,16.85%,8.91,X,9.28,X,5 APR 23,389,1.60,I,1.62,P,317,888,21.16%,47.20%,,
,,85,487,12.73%,28.54%,8.25,X,8.49,X,5 APR 23,390,1.83,Z,1.85,I,994,"1,393",21.06%,52.35%,,
,,154,363,13.08%,36.71%,7.43,X,7.73,X,5 APR 23,391,2.08,Z,2.10,P,282,717,20.93%,57.75%,,
,,316,650,13.47%,45.75%,6.69,X,7.00,X,5 APR 23,392,2.36,Z,2.38,I,370,689,20.82%,63.50%,,
,,598,555,13.86%,55.34%,6.13,B,6.20,N,5 APR 23,393,2.66,I,2.69,I,411,652,20.69%,69.50%,,
,,"1,360",365,14.08%,64.80%,5.47,B,5.54,Q,5 APR 23,394,3.00,I,3.03,P,710,851,20.59%,75.80%,,
,,"2,813",577,14.21%,74.38%,4.86,P,4.89,N,5 APR 23,395,3.38,Z,3.40,N,"1,602","2,234",20.51%,82.33%,,
,,"2,487","1,359",14.30%,84.15%,4.27,I,4.30,Z,5 APR 23,396,3.79,E,3.82,P,"1,680","1,053",20.46%,89.05%,,
,,981,"2,303",14.33%,94.03%,3.72,P,3.74,N,5 APR 23,397,4.24,E,4.27,N,"1,470","1,660",20.42%,95.88%,,
,,592,"2,182",14.34%,96.23%,3.21,P,3.23,Z,5 APR 23,398,4.70,B,4.80,Z,80,"2,680",20.42%,97.31%,,
,,690,"2,948",14.32%,86.83%,2.74,P,2.76,I,5 APR 23,399,5.24,B,5.33,N,291,"2,914",20.45%,90.62%,,
,,"2,553","2,383",14.28%,77.56%,2.32,N,2.33,I,5 APR 23,400,5.82,B,5.92,N,421,"3,538",20.55%,84.07%,,
,,"1,046","1,952",14.17%,68.38%,1.92,I,1.94,N,5 APR 23,401,6.43,B,6.69,X,3,"1,397",20.98%,78.03%,,
,,999,940,14.09%,59.61%,1.58,I,1.60,Z,5 APR 23,402,7.09,B,7.39,T,5,775,21.24%,72.15%,,
,,441,"1,330",13.99%,51.24%,1.28,I,1.30,Z,5 APR 23,403,7.80,X,8.12,X,3,715,21.54%,66.65%,,
,,652,"1,050",13.91%,43.47%,1.03,P,1.04,N,5 APR 23,404,8.42,X,8.91,Q,78,"1,125",21.66%,61.16%,,
,,"1,013",744,13.83%,36.38%,.81,I,.83,W,5 APR 23,405,9.21,X,9.73,Q,32,220,22.15%,56.60%,,
,,"1,349",340,13.78%,30.10%,.64,P,.65,Z,5 APR 23,406,10.04,X,10.60,Q,13,46,22.77%,52.64%,,
,,198,503,13.68%,24.39%,.49,I,.50,I,5 APR 23,407,10.92,X,11.50,Q,50,16,23.53%,49.28%,,
,,306,"1,484",13.69%,19.79%,.38,P,.39,I,5 APR 23,408,11.82,X,12.43,Q,985,447,24.37%,46.38%,,
,,114,467,13.69%,15.81%,.29,Q,.30,I,5 APR 23,409,12.76,X,13.38,Q,<empty>,73,25.33%,43.98%,,
