Stock quote and option quote for DIA on 3/28/23 22:21:44

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
323.81,P,-.50,325.00, ,325.28, ,800 x 800,"2,536,520",323.99,325.65,322.84

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,3.18%,73.76,.8581,M,3/17/23,354.8783,286.62,"82,140,000",.939

31 MAR 23  (2)  100 (Quarterlys)
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,0,--,0.00%,26.00,N,27.30,N,6 APR 23,298,.14,B,.21,T,1,96,30.38%,6.50%,,
,,<empty>,10,--,0.00%,25.00,N,26.20,N,6 APR 23,299,.16,T,.22,B,2,12,29.84%,7.08%,,
,,1,36,--,0.00%,24.00,A,25.20,A,6 APR 23,300,.16,H,.23,T,172,"2,941",28.98%,7.40%,,
,,<empty>,28,--,0.00%,23.10,T,24.20,T,6 APR 23,301,.18,T,.25,T,<empty>,27,28.49%,8.15%,,
,,<empty>,21,--,0.00%,22.05,A,23.20,A,6 APR 23,302,.20,T,.26,T,3,62,27.83%,8.79%,,
,,<empty>,52,--,0.00%,21.15,N,22.40,N,6 APR 23,303,.22,B,.28,T,25,104,27.25%,9.60%,,
,,<empty>,38,--,0.00%,20.65,N,20.90,N,6 APR 23,304,.24,B,.30,T,6,113,26.62%,10.44%,,
,,<empty>,79,--,0.00%,19.65,I,19.95,I,6 APR 23,305,.27,J,.33,T,22,178,26.14%,11.57%,,
,,<empty>,41,--,0.00%,18.70,I,18.95,N,6 APR 23,306,.31,T,.36,B,6,149,25.68%,12.88%,,
,,<empty>,62,--,0.00%,17.75,I,18.00,N,6 APR 23,307,.34,B,.39,T,16,154,25.07%,14.10%,,
,,<empty>,36,--,0.00%,16.80,Q,17.05,I,6 APR 23,308,.38,B,.43,T,17,246,24.55%,15.63%,,
,,<empty>,23,--,0.00%,15.85,I,16.10,I,6 APR 23,309,.43,B,.48,B,214,497,24.09%,17.46%,,
,,<empty>,96,0.07%,0.00%,14.90,I,15.15,I,6 APR 23,310,.49,T,.54,J,30,844,23.68%,19.60%,,
,,<empty>,26,0.06%,0.00%,13.95,I,14.20,X,6 APR 23,311,.56,B,.60,T,23,96,23.23%,21.92%,,
,,2,99,12.94%,3.94%,13.05,I,13.25,N,6 APR 23,312,.63,T,.67,P,34,165,22.73%,24.44%,,
,,<empty>,31,14.82%,9.77%,12.15,I,12.35,X,6 APR 23,313,.72,T,.75,N,35,105,22.29%,27.38%,,
,,1,47,15.49%,14.70%,11.25,I,11.45,X,6 APR 23,314,.82,Q,.85,T,21,345,21.88%,30.74%,,
,,20,76,15.68%,19.37%,10.35,I,10.55,Z,6 APR 23,315,.94,D,.96,N,58,803,21.48%,34.52%,,
,,1,177,15.84%,24.75%,9.50,I,9.65,N,6 APR 23,316,1.07,P,1.10,B,33,162,21.10%,38.78%,,
,,<empty>,277,15.94%,30.78%,8.65,I,8.80,N,6 APR 23,317,1.22,P,1.25,B,33,368,20.69%,43.45%,,
,,5,45,16.09%,34.41%,8.25,I,8.40,N,6 APR 23,317.5,1.30,T,1.33,N,33,200,20.47%,45.93%,,
,,5,216,16.16%,37.96%,7.85,B,8.00,B,6 APR 23,318,1.39,T,1.43,B,93,476,20.32%,48.67%,,
,,3,200,16.10%,45.04%,7.05,I,7.20,B,6 APR 23,319,1.59,Z,1.63,Z,43,224,19.95%,54.43%,,
,,34,157,15.82%,52.25%,6.25,I,6.40,B,6 APR 23,320,1.82,Q,1.86,B,334,656,19.61%,60.76%,,
,,22,447,15.77%,60.83%,5.55,I,5.65,N,6 APR 23,321,2.08,P,2.12,P,82,265,19.26%,67.62%,,
,,91,336,15.63%,69.84%,4.85,I,4.95,N,6 APR 23,322,2.38,Z,2.42,Z,656,"2,388",18.95%,75.05%,,
,,97,452,15.46%,74.42%,4.50,I,4.60,N,6 APR 23,322.5,2.54,N,2.59,N,20,409,18.80%,78.96%,,
,,80,396,15.51%,79.48%,4.20,T,4.30,B,6 APR 23,323,2.72,P,2.76,T,162,460,18.66%,82.98%,,
,,80,560,15.14%,89.41%,3.55,B,3.65,T,6 APR 23,324,3.05,B,3.15,B,118,296,18.27%,91.27%,,
,,102,614,14.90%,100.00%,3.00,T,3.05,N,6 APR 23,325,3.50,T,3.60,T,260,433,18.13%,100.00%,,
,,220,372,14.62%,89.18%,2.47,T,2.52,P,6 APR 23,326,3.95,B,4.05,N,172,262,17.76%,91.04%,,
,,168,238,14.33%,78.18%,2.00,P,2.04,N,6 APR 23,327,4.50,B,4.60,I,56,81,17.67%,82.13%,,
,,91,241,14.17%,72.65%,1.78,T,1.82,N,6 APR 23,327.5,4.75,X,4.90,T,32,154,17.55%,77.63%,,
,,67,356,14.04%,67.20%,1.58,T,1.62,N,6 APR 23,328,5.10,N,5.20,N,36,153,17.62%,73.43%,,
,,45,139,13.82%,56.67%,1.23,I,1.27,N,6 APR 23,329,5.75,I,5.90,I,1,350,17.73%,65.33%,,
,,53,429,13.63%,46.84%,.94,T,.98,B,6 APR 23,330,6.45,I,6.65,I,15,408,17.91%,57.88%,,
,,80,157,13.48%,37.94%,.71,B,.74,P,6 APR 23,331,7.25,Q,7.45,I,3,51,18.34%,51.58%,,
,,106,182,13.40%,30.31%,.53,B,.56,Q,6 APR 23,332,8.10,Z,8.30,I,1,46,18.92%,46.29%,,
,,6,80,13.42%,27.07%,.47,Q,.48,N,6 APR 23,332.5,8.50,I,8.75,I,<empty>,8,19.16%,43.76%,,
,,18,551,13.41%,24.00%,.40,T,.42,Q,6 APR 23,333,8.95,I,9.20,I,5,42,19.54%,41.71%,,
,,38,623,13.49%,18.93%,.30,Q,.32,Q,6 APR 23,334,9.90,I,10.10,N,7,39,20.41%,38.24%,,
,,77,329,13.67%,15.06%,.23,P,.25,T,6 APR 23,335,10.35,Z,11.65,Z,<empty>,43,21.77%,36.29%,,
,,20,541,13.77%,11.69%,.17,T,.19,Q,6 APR 23,336,11.40,A,13.30,A,<empty>,5,25.66%,39.50%,,
,,12,135,14.09%,9.50%,.14,N,.15,N,6 APR 23,337,11.90,P,14.35,T,<empty>,0,25.36%,34.88%,,
,,<empty>,44,14.25%,8.56%,.12,P,.14,T,6 APR 23,337.5,12.45,P,14.85,T,<empty>,4,26.21%,34.50%,,
,,9,51,14.48%,7.87%,.11,Z,.13,T,6 APR 23,338,12.95,P,15.35,T,<empty>,0,26.86%,33.81%,,
,,6,72,14.86%,6.52%,.09,P,.11,B,6 APR 23,339,13.95,P,16.35,T,<empty>,0,28.15%,32.52%,,
,,9,372,15.43%,5.74%,.08,T,.10,T,6 APR 23,340,14.95,P,17.35,T,<empty>,1,29.41%,31.34%,,
,,1,47,15.79%,4.79%,.07,P,.08,T,6 APR 23,341,15.95,P,18.35,T,<empty>,0,30.66%,30.26%,,
,,9,32,16.22%,4.09%,.06,Q,.07,T,6 APR 23,342,16.95,P,19.35,T,<empty>,1,31.89%,29.28%,,
,,<empty>,13,16.41%,3.76%,.05,T,.07,T,6 APR 23,342.5,17.45,P,19.85,T,<empty>,0,32.50%,28.81%,,
,,<empty>,174,16.58%,3.44%,.05,P,.06,T,6 APR 23,343,18.15,P,20.35,T,<empty>,0,33.95%,29.55%,,
,,19,37,17.10%,3.06%,.04,T,.06,H,6 APR 23,344,18.95,P,21.35,T,<empty>,0,34.31%,27.53%,,
,,10,111,17.33%,2.49%,.03,T,.05,T,6 APR 23,345,19.95,P,22.35,T,<empty>,0,35.50%,26.74%,,
,,3,497,17.74%,2.16%,.03,T,.04,T,6 APR 23,346,20.95,P,23.35,T,<empty>,0,36.68%,26.01%,,
,,<empty>,111,18.09%,1.84%,.02,B,.04,D,6 APR 23,347,21.95,P,24.30,T,<empty>,0,37.62%,25.05%,,
,,<empty>,31,18.37%,1.53%,.02,T,.03,T,6 APR 23,348,22.90,P,25.25,P,<empty>,0,38.30%,23.86%,,
,,<empty>,25,18.55%,1.24%,.01,B,.03,T,6 APR 23,349,23.95,P,26.65,N,<empty>,0,41.53%,25.65%,,
,,<empty>,274,18.61%,0.95%,.01,P,.02,P,6 APR 23,350,24.45,T,27.35,T,<empty>,0,38.80%,20.76%,,
,,<empty>,11,19.25%,0.92%,.01,T,.02,T,6 APR 23,351,25.45,T,28.35,T,<empty>,0,39.90%,20.29%,,

14 APR 23  (16)  100 (Weeklys)
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,0,16.76%,1.52%,27.10,I,27.30,N,14 APR 23,298,.46,Z,.48,P,279,0,26.60%,12.95%,,
,,<empty>,0,18.55%,3.53%,26.15,I,26.35,N,14 APR 23,299,.49,P,.52,B,2,0,26.21%,13.90%,,
,,<empty>,2,19.34%,5.27%,25.20,N,25.40,T,14 APR 23,300,.53,P,.56,B,16,131,25.84%,14.96%,,
,,<empty>,0,19.20%,6.15%,24.20,I,24.45,I,14 APR 23,301,.57,P,.60,B,1,0,25.44%,16.05%,,
,,<empty>,0,19.47%,7.77%,23.25,I,23.50,I,14 APR 23,302,.62,P,.65,P,12,2,25.09%,17.35%,,
,,<empty>,9,19.94%,10.02%,22.35,N,22.55,I,14 APR 23,303,.67,P,.70,B,21,181,24.71%,18.67%,,
,,<empty>,0,19.86%,11.56%,21.40,I,21.60,N,14 APR 23,304,.73,P,.76,B,<empty>,164,24.37%,20.20%,,
,,2,251,19.69%,13.12%,20.45,H,20.65,N,14 APR 23,305,.79,P,.82,B,9,119,23.99%,21.77%,,
,,<empty>,0,19.97%,15.84%,19.55,Q,19.75,X,14 APR 23,306,.86,P,.89,P,7,"2,511",23.64%,23.54%,,
,,<empty>,0,19.62%,17.43%,18.60,I,18.80,N,14 APR 23,307,.94,P,.97,P,3,"1,235",23.32%,25.51%,,
,,<empty>,0,19.66%,20.11%,17.70,I,17.90,T,14 APR 23,308,1.02,P,1.05,P,311,68,22.94%,27.53%,,
,,<empty>,0,19.58%,22.78%,16.80,I,17.00,T,14 APR 23,309,1.12,P,1.15,P,7,54,22.65%,29.90%,,
,,<empty>,29,19.41%,25.47%,15.90,I,16.10,P,14 APR 23,310,1.22,P,1.25,P,70,250,22.29%,32.32%,,
,,<empty>,2,19.16%,28.21%,15.00,I,15.20,N,14 APR 23,311,1.33,P,1.36,P,3,57,21.94%,34.95%,,
,,<empty>,58,19.15%,31.85%,14.15,H,14.35,H,14 APR 23,312,1.45,B,1.49,T,2,207,21.62%,37.86%,,
,,<empty>,4,18.88%,35.10%,13.30,I,13.45,N,14 APR 23,313,1.59,Z,1.62,N,1,82,21.28%,40.96%,,
,,1,9,18.67%,38.80%,12.45,H,12.60,N,14 APR 23,314,1.74,Z,1.78,P,7,112,20.98%,44.38%,,
,,<empty>,28,18.51%,42.92%,11.60,I,11.80,I,14 APR 23,315,1.91,P,1.94,N,43,291,20.65%,48.01%,,
,,<empty>,260,18.25%,47.11%,10.80,B,10.95,N,14 APR 23,316,2.09,Z,2.13,B,4,104,20.35%,51.94%,,
,,4,298,18.02%,51.70%,10.00,B,10.15,N,14 APR 23,317,2.29,Z,2.33,B,21,183,20.03%,56.12%,,
,,<empty>,95,17.87%,54.04%,9.60,B,9.75,N,14 APR 23,317.5,2.40,Z,2.44,P,2,67,19.89%,58.35%,,
,,<empty>,86,17.92%,56.91%,9.25,B,9.40,X,14 APR 23,318,2.51,Z,2.55,B,27,"1,164",19.72%,60.60%,,
,,<empty>,46,17.71%,62.18%,8.50,B,8.65,X,14 APR 23,319,2.75,Q,2.80,Q,32,651,19.43%,65.40%,,
,,11,342,17.40%,67.60%,7.75,B,7.90,I,14 APR 23,320,3.00,T,3.10,B,15,277,19.17%,70.54%,,
,,4,238,17.19%,73.53%,7.05,B,7.20,X,14 APR 23,321,3.30,B,3.40,B,8,183,18.91%,75.94%,,
,,<empty>,353,16.86%,79.62%,6.35,B,6.50,H,14 APR 23,322,3.60,B,3.70,B,36,460,18.55%,81.51%,,
,,1,225,16.76%,82.86%,6.05,I,6.15,N,14 APR 23,322.5,3.80,B,3.90,B,7,106,18.53%,84.54%,,
,,42,152,16.62%,86.14%,5.70,B,5.85,X,14 APR 23,323,3.95,B,4.05,B,74,305,18.28%,87.44%,,
,,15,414,16.36%,92.94%,5.10,B,5.20,T,14 APR 23,324,4.35,B,4.45,B,9,76,18.09%,93.64%,,
,,27,413,16.06%,100.00%,4.50,B,4.60,Z,14 APR 23,325,4.75,B,4.85,B,41,426,17.79%,100.00%,,
,,9,221,15.81%,92.78%,3.95,B,4.05,T,14 APR 23,326,5.20,B,5.30,B,3,44,17.54%,93.46%,,
,,37,107,15.62%,85.46%,3.45,B,3.55,T,14 APR 23,327,5.65,B,5.80,B,5,101,17.28%,86.79%,,
,,<empty>,53,15.47%,81.73%,3.20,Q,3.30,T,14 APR 23,327.5,5.95,Z,6.05,B,<empty>,164,17.23%,83.50%,,
,,26,138,15.32%,77.98%,2.97,Q,3.05,T,14 APR 23,328,6.20,B,6.30,N,9,54,17.06%,80.10%,,
,,7,113,14.97%,70.33%,2.52,I,2.57,N,14 APR 23,329,6.75,B,6.90,B,39,149,16.91%,73.49%,,
,,36,387,14.71%,62.87%,2.12,E,2.17,Z,14 APR 23,330,7.35,I,7.50,I,3,488,16.72%,66.92%,,
,,5,45,14.45%,55.53%,1.76,I,1.81,Z,14 APR 23,331,8.00,H,8.15,N,8,28,16.59%,60.59%,,
,,1,181,14.21%,48.49%,1.45,Q,1.49,N,14 APR 23,332,8.70,I,8.90,I,5,11,16.64%,54.90%,,
,,4,66,14.11%,45.13%,1.31,Q,1.35,Q,14 APR 23,332.5,9.10,I,9.25,Z,<empty>,4,16.67%,52.19%,,
,,18,125,13.98%,41.79%,1.18,Q,1.21,N,14 APR 23,333,9.45,H,9.65,H,3,5,16.67%,49.50%,,
,,5,37,13.80%,35.65%,.95,P,.98,Z,14 APR 23,334,10.25,I,10.45,I,1,2,16.83%,44.73%,,
,,26,137,13.65%,30.12%,.76,P,.79,Q,14 APR 23,335,11.10,I,11.30,Q,<empty>,49,17.12%,40.72%,,
,,11,125,13.51%,25.12%,.60,B,.63,P,14 APR 23,336,12.00,Z,12.20,I,<empty>,1,17.60%,37.54%,,
,,11,91,13.48%,21.02%,.48,P,.51,Z,14 APR 23,337,12.90,I,13.15,I,<empty>,2,18.16%,34.89%,,
,,47,47,13.45%,19.09%,.43,P,.45,N,14 APR 23,337.5,13.20,Q,13.80,Q,2,7,18.48%,33.79%,,
,,"1,094",150,13.45%,17.42%,.38,B,.41,N,14 APR 23,338,13.25,Q,14.70,Q,<empty>,11,18.80%,32.75%,,
,,805,20,13.45%,14.37%,.30,B,.33,Z,14 APR 23,339,14.50,A,15.70,A,<empty>,0,20.44%,33.18%,,
,,46,145,13.57%,12.09%,.25,Z,.27,Q,14 APR 23,340,15.05,N,17.30,N,<empty>,0,21.79%,32.92%,,
,,3,10,13.63%,10.00%,.20,T,.22,N,14 APR 23,341,15.65,Q,18.30,Q,<empty>,0,21.51%,29.27%,,
,,1,38,13.86%,8.61%,.17,P,.19,Z,14 APR 23,342,17.10,N,19.30,N,<empty>,0,23.76%,31.08%,,
,,5,26,14.02%,7.26%,.14,Q,.16,Q,14 APR 23,343,18.10,N,20.30,N,<empty>,0,24.65%,30.13%,,
,,<empty>,66,14.27%,6.30%,.12,P,.14,N,14 APR 23,344,18.65,N,21.30,N,<empty>,0,24.12%,26.59%,,
,,<empty>,139,14.46%,5.36%,.10,T,.12,N,14 APR 23,345,20.15,P,22.30,N,5,5,26.56%,28.71%,,
,,<empty>,62,14.81%,4.81%,.09,P,.11,T,14 APR 23,346,21.05,N,23.30,N,<empty>,0,27.11%,27.40%,,
,,1,27,15.13%,4.29%,.08,Q,.10,T,14 APR 23,347,22.05,N,24.15,N,<empty>,0,27.48%,25.88%,,
,,281,48,15.41%,3.79%,.07,T,.09,T,14 APR 23,348,23.05,N,25.15,N,<empty>,0,28.31%,25.23%,,
,,2,"3,387",15.65%,3.31%,.06,Q,.08,T,14 APR 23,349,23.95,P,26.30,Z,<empty>,0,29.31%,24.88%,,
,,<empty>,191,15.83%,2.85%,.05,B,.07,T,14 APR 23,350,24.65,N,27.30,N,<empty>,0,29.09%,22.71%,,
,,<empty>,75,16.36%,2.76%,.05,T,.07,H,14 APR 23,351,25.65,N,28.30,N,<empty>,0,29.90%,22.19%,,
,,<empty>,9,16.47%,2.33%,.04,T,.06,T,14 APR 23,352,26.65,N,29.30,N,<empty>,0,30.70%,21.71%,,

21 APR 23  (23)  100
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,2,22.13%,9.83%,29.05,M,30.10,A,21 APR 23,296,.67,Z,.70,B,2,24,25.84%,15.87%,,
,,<empty>,0,22.64%,11.96%,28.10,M,29.25,A,21 APR 23,297,.71,T,.74,N,1,"2,008",25.47%,16.81%,,
,,<empty>,4,21.94%,12.18%,27.15,M,28.20,A,21 APR 23,298,.76,P,.79,N,2,26,25.16%,17.91%,,
,,<empty>,0,22.49%,14.72%,26.20,M,27.40,N,21 APR 23,299,.81,P,.85,B,<empty>,21,24.86%,19.10%,,
,,7,176,21.77%,15.02%,25.25,Z,26.35,A,21 APR 23,300,.87,P,.90,N,921,"3,245",24.53%,20.32%,,
,,<empty>,1,21.49%,16.23%,24.25,M,25.45,N,21 APR 23,301,.93,P,.97,B,5,30,24.24%,21.71%,,
,,<empty>,3,20.75%,16.59%,23.20,H,24.50,H,21 APR 23,302,1.00,P,1.03,N,4,33,23.91%,23.12%,,
,,<empty>,6,20.63%,18.32%,22.45,X,23.40,N,21 APR 23,303,1.07,P,1.10,N,2,48,23.59%,24.63%,,
,,<empty>,8,20.81%,20.87%,21.45,X,22.65,N,21 APR 23,304,1.15,P,1.18,N,4,58,23.29%,26.31%,,
,,<empty>,183,19.68%,20.57%,20.45,H,21.55,J,21 APR 23,305,1.23,P,1.27,B,52,"3,276",22.99%,28.08%,,
,,<empty>,1,19.93%,23.62%,19.65,X,20.65,N,21 APR 23,306,1.32,P,1.36,P,57,11,22.67%,29.96%,,
,,<empty>,8,20.07%,26.59%,18.80,H,19.80,H,21 APR 23,307,1.42,P,1.46,B,30,32,22.38%,32.01%,,
,,<empty>,31,20.65%,30.85%,18.00,X,19.10,H,21 APR 23,308,1.53,N,1.56,N,26,30,22.07%,34.16%,,
,,<empty>,42,19.54%,31.10%,17.00,X,18.00,H,21 APR 23,309,1.64,Z,1.68,B,2,22,21.76%,36.46%,,
,,20,192,19.71%,34.73%,16.35,X,17.05,J,21 APR 23,310,1.76,H,1.80,N,168,"3,587",21.44%,38.90%,,
